ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Slagerij Saglik;47221;120032;487659;50;Butcher;-0,4;0,5;
Keurslagerij Bon V.O.F.;47221;120097;486252;50;Butcher;-0,4;0,5;
Keurslagerij Bastiaan Res;47221;119155;485852;50;Butcher;-0,4;1,0;
Slagerij N.G. van der Laan;47221;118782;484963;50;Butcher;-0,4;1,0;
Slagerij Oostwal;47221;124844;489295;50;Butcher;-0,4;1,0;
Slagerij 'Kaddour';47221;122689;488521;50;Butcher;-0,4;1,0;
Teujib B.V.;47221;127029;480983;51;Butcher;-0,4;1,0;
Poelier H. Jonk V.O.F.;47222;120997;488381;51;Butcher;-0,4;1,0;
Slagerij Eliman Wanour;47221;119520;486626;52;Butcher;-0,4;1,0;
La Carniceria B.V.;47221;118443;484912;52;Butcher;-0,4;1,0;
Slagerij Aïtmaten Minimarket;47221;123506;489248;54;Butcher;-0,4;1,0;
Slagerij R.G. van Wijk;47221;120946;484779;56;Butcher;-0,4;1,0;
Slagerij Ton Heemskerk;47221;122637;485544;58;Butcher;-0,4;1,0;
Ambachtelijke Slagerij In 't Veld;47221;123912;485226;58;Butcher;-0,4;1,0;
Islamitische Slagerij Taibah & Supermarkt;47221;123088;485163;58;Butcher;-0,4;1,0;
Medina-Al-Halal B.V.;47221;124695;481714;60;Butcher;-0,4;1,0;
Keurslagerij Nieuw Sloten;47221;115797;484351;60;Butcher;-0,4;1,0;
Frederique;47221;121628;485560;60;Butcher;-0,4;1,0;
Buurtslagerij Aarse;47221;120751;491956;62;Butcher;-0,4;1,0;
V.O.F. A.W.J. van Schaick;47221;119067;484279;62;Butcher;-0,4;1,0;
Yak Supermarkt;47221;118570;486942;62;Butcher;-0,4;1,0;
Atlas Islamitische Slagerij;47221;124128;486282;64;Butcher;-0,4;1,0;
Slagerij Witte Paleis;47221;118487;488004;64;Butcher;-0,4;1,0;
Supermarkt Slagerij Bessaha;47221;115005;486206;64;Butcher;-0,4;1,0;
Ankara Market Yer;47221;121922;485235;65;Butcher;-0,4;1,0;
Scharrelslagerij C. de Bouter;47221;124092;485355;65;Butcher;-0,4;1,0;
New Chicken;47222;119549;486686;65;Butcher;-0,4;1,0;
Slagerij Alif;47221;118572;488031;66;Butcher;-0,4;1,0;
Slagerij Buzhu V.O.F.;47221;120969;488408;67;Butcher;-0,4;1,0;
Slagerij Sahin;47221;126104;479206;67;Butcher;-0,4;1,0;
Hergo;47221;119600;482044;69;Butcher;-0,4;1,0;
V.O.F. Slagerij Overdevest;47221;118529;487085;69;Butcher;-0,4;1,0;
BELINA;47221;118944;487160;69;Butcher;-0,4;1,0;
Aktas Slagerij;47221;123755;486051;70;Butcher;-0,4;1,0;
Slagerij Nico Leeuwenkamp;47221;121038;485051;70;Butcher;-0,4;1,0;
Slagerij 'Kaddour';47221;129085;484906;71;Butcher;-0,4;1,0;
